ID,Nama,Jenis Kelamin,Usia,Tingkat Pendidikan,Pendapatan,Pengeluaran,Jam Kerja,Wilayah,Promo,Skor Loyalitas,Skor Kesehatan,Departemen,Pengalaman (Tahun),Hasil
1,Individu-1,Laki-Laki,26,Sarjana,22728.01,18078.38,44,Urban,Yes,10.24,83.45,HR,1,Low Performer
2,Individu-2,Perempuan,24,Magister,12697.05,10119.32,59,Rural,Yes,47.67,79.11,Finance,32,Low Performer
3,Individu-3,Laki-Laki,18,SMA,11061.28,8110.04,65,Rural,No,7.08,76.96,Finance,38,Low Performer
4,Individu-4,Perempuan,35,Diploma,20394.81,19857.18,53,Urban,Yes,51.38,87.13,Finance,27,Average
5,Individu-5,Laki-Laki,41,Diploma,11656.85,12034.18,31,Rural,No,28.52,98.87,HR,6,Low Performer
6,Individu-6,Laki-Laki,48,SMA,3175.96,14147.23,76,Suburban,Yes,77.33,71.68,IT,17,Average
7,Individu-7,Perempuan,32,Doktor,16123.84,9201.64,20,Rural,Yes,2.07,91.65,IT,40,Low Performer
8,Individu-8,Perempuan,65,SMA,16441.92,12536.81,47,Suburban,No,36.19,73.94,IT,26,Low Performer
9,Individu-9,Perempuan,56,Magister,19737.63,2805.64,60,Suburban,Yes,56.23,67.34,Operations,30,Average
10,Individu-10,Perempuan,23,Magister,26491.81,2966.81,40,Urban,Yes,87.23,69.83,Operations,25,Average
11,Individu-11,Laki-Laki,50,Doktor,26333.67,8666.81,61,Suburban,Yes,20.63,76.29,Marketing,39,Low Performer
12,Individu-12,Laki-Laki,52,SMA,5933.43,433.76,56,Urban,Yes,34.97,76.02,Marketing,24,Low Performer
13,Individu-13,Laki-Laki,45,SMA,13751.98,12609.85,24,Urban,No,97.62,93.07,Finance,22,High Performer
14,Individu-14,Laki-Laki,52,Magister,23541.98,15625.35,80,Suburban,Yes,99.19,97.47,Operations,7,High Performer
15,Individu-15,Laki-Laki,58,Doktor,4128.04,6495.53,72,Suburban,Yes,27.14,94.78,IT,34,Low Performer
16,Individu-16,Laki-Laki,58,Sarjana,9180.54,2907.51,41,Suburban,Yes,4.37,86.74,Marketing,21,Low Performer
17,Individu-17,Perempuan,33,Doktor,18324.45,18676.54,37,Suburban,No,4.13,57.89,IT,40,Low Performer
18,Individu-18,Laki-Laki,20,Doktor,3745.9,16230.85,62,Rural,Yes,11.32,84.06,Finance,31,Low Performer
19,Individu-19,Laki-Laki,49,Doktor,13386.99,2790.05,24,Urban,No,47.12,75.22,HR,26,Low Performer
20,Individu-20,Perempuan,42,Diploma,28295.59,867.02,28,Suburban,Yes,3.29,97.61,Operations,38,Low Performer
21,Individu-21,Laki-Laki,62,Sarjana,12069.64,9438.8,78,Suburban,Yes,35.17,98.37,Operations,9,Low Performer
22,Individu-22,Laki-Laki,23,Magister,2229.56,18435.67,61,Suburban,No,37.92,50.28,Marketing,13,Low Performer
23,Individu-23,Perempuan,43,Magister,24851.08,7340.44,40,Rural,Yes,86.15,82.89,HR,9,High Performer
24,Individu-24,Perempuan,52,Diploma,24578.62,4577.97,23,Suburban,No,17.13,76.94,Finance,7,Low Performer
25,Individu-25,Perempuan,48,Magister,23609.75,15891.46,70,Suburban,Yes,43.2,66.83,IT,28,Low Performer
26,Individu-26,Perempuan,53,Magister,13354.09,10166.94,18,Suburban,No,2.8,69.39,Marketing,26,Low Performer
27,Individu-27,Laki-Laki,44,Doktor,27132.01,12093.47,25,Urban,No,16.43,56.91,Finance,10,Low Performer
28,Individu-28,Perempuan,31,Sarjana,14949.53,10390.65,77,Rural,Yes,8.39,83.7,Marketing,24,Low Performer
